OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos,Hora,año,maña,noch,tard,unknown_Hour,Mes
Military - U.S. Army,United States,1,2,1,0,1,0,0,0,0,1,0,17,1908,0,0,1,0,9
Unknown,France,1,1,1,1,0,0,0,0,0,0,0,0,1909,0,0,0,1,9
Military - U.S. Navy,United States,1,5,5,0,0,0,1,0,0,0,1,6,1912,1,0,0,0,7
Private,Canada,2,1,1,1,0,0,0,0,0,0,0,0,1913,0,0,0,1,8
Military - German Navy,North Sea,1,20,14,0,0,0,0,0,0,1,1,18,1913,0,0,1,0,9
Military - German Navy,Deutschland,1,28,28,0,0,0,1,0,0,0,0,10,1913,1,0,0,0,10
Military - German Navy,Belgium,1,41,17,0,1,0,0,0,0,0,1,1,1915,1,0,0,0,3
Military - German Navy,Deutschland,1,19,19,0,0,0,1,0,0,0,1,15,1915,0,0,1,0,9
Military - German Army,Italia,1,20,20,1,0,0,0,0,0,0,0,0,1916,0,0,0,1,7
Military - German Navy,United Kingdom,1,22,22,0,1,0,0,0,0,0,0,1,1916,1,0,0,0,9
Military - German Navy,United Kingdom,1,19,19,0,1,0,0,0,0,0,0,23,1916,0,1,0,0,10
Military - German Army,Deutschland,1,28,27,0,0,0,0,0,0,0,1,0,1916,0,0,0,1,11
Military - German Navy,United Kingdom,1,20,20,0,1,0,1,0,0,0,0,23,1916,0,1,0,0,11
Military - German Army,Belgium,1,20,20,0,0,0,1,0,0,0,0,0,1917,0,0,0,1,3
Military - German Navy,United States,1,23,23,0,0,0,0,0,0,0,1,0,1917,0,0,0,1,3
Military - German Navy,North Sea,1,21,21,0,0,0,1,0,0,0,0,5,1917,1,0,0,0,5
Military - German Navy,North Sea,1,24,24,0,1,0,0,0,0,0,0,8,1917,1,0,0,0,6
Unknown,United Kingdom,1,16,14,0,1,0,0,0,0,0,0,0,1917,0,0,0,1,6
Military - German Navy,Australia,1,18,18,0,1,0,0,0,0,0,0,7,1917,1,0,0,0,8
Military - German Navy,France,1,18,18,0,1,0,1,0,0,0,0,7,1917,1,0,0,0,10
Military - German Navy,Cyprus,1,23,23,0,0,0,1,0,0,0,0,21,1918,0,1,0,0,4
Military - German Navy,Deutschland,1,22,22,0,1,0,0,0,0,0,0,0,1918,0,0,0,1,8
Military - German Navy,North Sea,1,19,19,0,1,0,0,0,0,0,0,10,1918,1,0,0,0,8
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1918,0,0,0,1,12
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1919,0,0,0,1,5
US Aerial Mail Service,United States,1,1,1,1,0,0,0,0,0,0,0,0,1919,0,0,0,1,7
Caproni Company,Italia,1,14,14,0,0,0,0,1,0,0,0,0,1919,0,0,0,1,8
Aircraft Transport and Travel,United Kingdom,1,1,1,0,0,0,0,0,0,0,0,0,1919,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1919,0,0,0,1,10
Aircraft Transport and Travel,United Kingdom,1,0,0,0,1,0,0,0,0,0,1,0,1919,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,1,1,0,1919,0,0,0,1,10
Aircraft Travel Transport,United Kingdom,2,1,1,0,1,0,0,0,0,0,0,0,1919,0,0,0,1,12
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1920,0,0,0,1,3
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1920,0,0,0,1,3
US Aerial Mail Service,United States,1,2,1,0,1,0,1,0,0,0,0,0,1920,0,0,0,1,4
US Aerial Mail Service,United States,1,2,1,0,1,0,0,0,0,0,0,0,1920,0,0,0,1,4
US Aerial Mail Service,United States,1,2,1,0,0,0,0,0,0,0,1,0,1920,0,0,0,1,5
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1920,0,0,0,1,6
Compañia Colombiana de Navegación Aérea,Colombia,1,1,1,0,0,0,1,0,0,1,0,0,1920,0,0,0,1,7
By Air,United Kingdom,1,1,1,1,0,0,0,0,0,0,0,0,1920,0,0,0,1,8
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1920,0,0,0,1,8
US Aerial Mail Service,United States,1,2,2,0,0,0,1,0,0,0,0,0,1920,0,0,0,1,9
US Aerial Mail Service,United States,1,2,2,0,1,0,1,0,0,0,0,0,1920,0,0,0,1,9
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,1,1,0,1920,0,0,0,1,9
Latecoere Airlines,France,1,2,2,1,0,0,0,0,0,0,0,0,1920,0,0,0,1,10
Latecoere Airlines,spain,1,2,2,0,1,0,0,0,0,0,0,0,1920,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,1,0,0,1,0,1920,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1920,0,0,0,1,11
Handley Page Transport,United Kingdom,1,8,4,0,1,0,1,0,0,0,1,12,1920,0,0,1,0,12
Aeropostale,spain,1,1,1,0,0,0,1,0,0,0,0,0,1920,0,0,0,1,12
US Aerial Mail Service,in,1,1,1,0,0,0,1,0,0,0,0,0,1921,0,0,0,1,2
US Aerial Mail Service,United States,1,3,3,1,0,0,0,0,0,0,0,0,1921,0,0,0,1,2
Aeropostale,Gibraltar,1,2,2,0,1,0,0,0,0,0,1,0,1921,0,0,0,1,2
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1921,0,0,0,1,2
Military - Royal Australian Air Force,Australia,1,2,2,0,1,0,1,0,0,0,0,0,1921,0,0,0,1,4
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1921,0,0,0,1,4
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1921,0,0,0,1,4
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,0,0,1921,0,0,0,1,5
Aeropostale,France,1,2,2,0,0,0,0,0,0,0,0,0,1921,0,0,0,1,8
Military - Royal Airship Works,United Kingdom,1,49,43,0,0,0,1,1,0,1,1,17,1921,0,0,1,0,8
Franco-Roumaine,France,1,5,5,0,1,1,0,0,0,0,0,0,1921,0,0,0,1,9
West Australian Airways,Australia,1,2,2,0,1,0,0,0,0,0,0,0,1921,0,0,0,1,12
Handley Page Transport,France,1,5,5,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,1
Military - U.S. Army Air Service,United States,1,45,34,0,0,0,1,0,0,0,0,0,1922,0,0,0,1,2
Aero Limited,North Atlantic,1,6,5,0,0,0,0,0,0,1,0,11,1922,1,0,0,0,3
Daimler Airways / Grands Express Aeriens,France,1,7,7,0,0,0,0,0,0,0,1,13,1922,0,0,1,0,4
Unknown,China,1,17,17,0,0,0,0,0,0,0,1,0,1922,0,0,0,1,4
Cie des Messageries Aeriennes,United Kingdom,2,3,3,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,6
Unknown,Deutschland,1,3,2,0,0,0,1,0,0,0,1,0,1922,0,0,0,1,7
Compagnie Franco-Roumaine de Navigaation Aerienne,France,2,5,5,0,1,0,1,0,0,0,1,16,1922,0,0,1,0,7
Grands Express Aeriens,spain,1,3,3,0,1,0,1,0,0,0,0,0,1922,0,0,0,1,7
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1922,0,0,0,1,9
de Havilland Air Service,Italia,1,4,4,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,10
Grands Express Aeriens,Morocco,1,2,2,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,10
Grands Express Aeriens,Morocco,1,1,1,0,0,0,0,0,0,0,1,0,1922,0,0,0,1,12
Amee de l'Air,France,1,4,3,0,0,0,1,0,0,0,0,0,1923,0,0,0,1,1
Grands Express Aeriens,spain,1,1,1,0,1,0,0,0,0,0,1,0,1923,0,0,0,1,1
US Aerial Mail Service,United States,1,1,1,1,0,0,0,0,0,0,0,0,1923,0,0,0,1,1
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1923,0,0,0,1,2
Grands Express Aeriens (Air Union),France,2,6,6,0,0,0,1,1,0,1,0,13,1923,0,0,1,0,5
Air Union,United Kingdom,1,11,1,0,1,0,1,0,0,0,0,17,1923,0,0,1,0,8
Campagnie France Roumaine,Romania,1,2,2,0,1,0,0,0,0,0,0,0,1923,0,0,0,1,8
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,0,0,1923,0,0,0,1,9
Daimler Airways,United Kingdom,2,5,5,0,1,0,0,0,0,0,1,18,1923,0,0,1,0,9
CCCP,Russia,1,5,3,0,1,0,0,0,0,0,0,0,1923,0,0,0,1,11
US Aerial Mail Service,United States,1,1,1,1,0,0,0,0,0,0,0,0,1923,0,0,0,1,12
Military - French Navy,Mediterranean Sea,1,52,52,0,0,0,0,0,0,1,1,2,1923,1,0,0,0,12
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1923,0,0,0,1,12
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1924,0,0,0,1,3
KLM Royal Dutch Airlines,Guernsey,1,3,3,1,0,0,0,0,0,0,0,0,1924,0,0,0,1,4
SCADTA,Colombia,1,5,5,0,0,0,1,0,0,0,0,0,1924,0,0,0,1,6
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1924,0,0,0,1,8
Grands Express Aeriens,France,1,1,1,0,0,0,0,0,0,0,1,0,1924,0,0,0,1,11
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1924,0,0,0,1,12
