fecha,HORA declarada,OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,Cause,Cause_Category,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos
1908-09-17,17:18:00,Military - U.S. Army,United States,1,2,1,"['broken', 'demonstration']",problemas_mantenimiento;errores_humanos,0,1,0,0,0,0,1,0
1909-09-07,00:00:00,Unknown,France,1,1,1,['unknown'],desconocido,1,0,0,0,0,0,0,0
1912-07-12,06:30:00,Military - U.S. Navy,United States,1,5,5,"['exploded', 'test']",fallos_equipos;problemas_meteorologicos,0,0,0,1,0,0,0,1
1913-08-06,00:00:00,Private,Canada,2,1,1,['unknown'],desconocido,1,0,0,0,0,0,0,0
1913-09-09,18:30:00,Military - German Navy,North Sea,1,20,14,"['broke', 'thunderstorm']",problemas_mantenimiento;problemas_meteorologicos,0,0,0,0,0,0,1,1
1913-10-17,10:30:00,Military - German Navy,Deutschland,1,28,28,"['engine', 'explode']",fallos_equipos;fallos_equipos,0,0,0,1,0,0,0,0
1915-03-05,01:00:00,Military - German Navy,Belgium,1,41,17,"['land', 'shot', 'trees']",errores_humanos;errores_humanos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1915-09-03,15:20:00,Military - German Navy,Deutschland,1,19,19,"['burned', 'exploded', 'lightning']",fallos_equipos;fallos_equipos;problemas_meteorologicos,0,0,0,1,0,0,0,1
1916-07-28,00:00:00,Military - German Army,Italia,1,20,20,['unknown'],desconocido,1,0,0,0,0,0,0,0
1916-09-24,01:00:00,Military - German Navy,United Kingdom,1,22,22,['shot'],errores_humanos,0,1,0,0,0,0,0,0
1916-10-01,23:45:00,Military - German Navy,United Kingdom,1,19,19,['shot'],errores_humanos,0,1,0,0,0,0,0,0
1916-11-21,00:00:00,Military - German Army,Deutschland,1,28,27,['storm'],problemas_meteorologicos,0,0,0,0,0,0,0,1
